epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.797,1.59241,13.0708,1.2698,0.11852,0.26667,0.14637,0.08142,1.68472,6.38304,1.45432,0.00010002,0.00010002,0.00010002
2,854.928,1.41125,5.68134,1.14699,0.18362,0.30981,0.20316,0.0939,1.65422,6.27866,1.4103,0.000195256,0.000195256,0.000195256
3,1232.69,1.47871,3.78429,1.12603,0.28687,0.33333,0.28046,0.15774,1.59814,8.83354,1.29769,0.000267387,0.000267387,0.000267387
4,1354.71,1.3463,3.00538,1.09721,0.25506,0.3,0.27236,0.14785,1.6609,8.03658,1.3745,0.000316413,0.000316413,0.000316413
5,1456.79,1.33398,2.58081,1.07158,0.31129,0.4,0.33847,0.1886,1.68276,4.42838,1.36977,0.000342335,0.000342335,0.000342335
6,1552.53,1.33812,2.80478,1.13033,0.21114,0.23333,0.18918,0.09841,1.74821,8.74658,1.34593,0.000345152,0.000345152,0.000345152
7,1886.26,1.4004,2.68118,1.16347,0.34146,0.3,0.33336,0.19556,1.56463,8.17707,1.19975,0.000324865,0.000324865,0.000324865
8,2006.5,1.36056,2.28395,1.10484,0.3509,0.26667,0.30176,0.1561,1.60841,3.10689,1.26203,0.000281473,0.000281473,0.000281473
9,2126.83,1.32078,2.09778,1.09214,0.31028,0.32741,0.31761,0.16673,1.60055,2.59653,1.29143,0.000214976,0.000214976,0.000214976
10,2241.12,1.23298,1.66245,1.07148,0.2749,0.56667,0.34387,0.17205,1.60361,2.37192,1.29779,0.000125375,0.000125375,0.000125375
